Intent,Question,Answer
has_water,"Is water available in Wildside Cabin?","Yes"

has_biscuits,"Are biscuits available at Wildside Cabin?","No"
has_biscuits,"Does Wildside Cabin provide biscuits?","No"
has_biscuits,"Can I get biscuits at Wildside Cabin?","No"
has_biscuits,"Are there biscuits in Wildside Cabin?","No"

has_rusk,"Is rusk available at Wildside Cabin?","Yes"
has_rusk,"Does Wildside Cabin offer rusk?","Yes"
has_rusk,"Can I get rusk at Wildside Cabin?","Yes"
has_rusk,"Is rusk provided in Wildside Cabin?","Yes"

has_charcoal_wood,"Are charcoal or wood available at Wildside Cabin?","Yes"
has_charcoal_wood,"Does Wildside Cabin provide charcoal or wood?","Yes"
has_charcoal_wood,"Can I use charcoal or wood at Wildside Cabin?","Yes"
has_charcoal_wood,"Is charcoal or wood available in Wildside Cabin?","Yes"

has_body_wash,"Is body wash provided at Wildside Cabin?","No"
has_body_wash,"Does Wildside Cabin offer body wash?","No"
has_body_wash,"Can I get body wash at Wildside Cabin?","No"
has_body_wash,"Is body wash available in Wildside Cabin?","No"

checkin_method,"What is the check-in method for Wildside Cabin?","Via lockbox"
checkin_method,"How do I check in to Wildside Cabin?","Using a lockbox"
checkin_method,"What is the check-in procedure for Wildside Cabin?","Lockbox access"
checkin_method,"How is the check-in handled at Wildside Cabin?","Through lockbox"

price_high,"What is the high season price for Wildside Cabin from December 1 to January 15?","R3 000"
price_high,"How much does Wildside Cabin cost during high season (Dec 1 - Jan 15)?","R3 000"
price_high,"What is the rate for Wildside Cabin in high season?","R3 000"
price_high,"Can you tell me the high season pricing for Wildside Cabin?","R3 000"

price_mid,"What is the mid season price for Wildside Cabin from January 16 to May 15 and October 16 to November 30?","R2 500"
price_mid,"How much does Wildside Cabin cost during mid season (Jan 16 - May 15 & Oct 16 - Nov 30)?","R2 500"
price_mid,"What is the rate for Wildside Cabin in mid season?","R2 500"
price_mid,"Can you tell me the mid season pricing for Wildside Cabin?","R2 500"

price_low,"What is the low season price for Wildside Cabin from May 16 to October 15?","R2 000"
price_low,"How much does Wildside Cabin cost during low season (May 16 - Oct 15)?","R2 000"
price_low,"What is the rate for Wildside Cabin in low season?","R2 000"
price_low,"Can you tell me the low season pricing for Wildside Cabin?","R2 000"

min_stay,"What is the minimum stay required at Wildside Cabin?","2 nights"
min_stay,"How many nights must I stay at Wildside Cabin?","2 nights"
min_stay,"Is there a minimum stay at Wildside Cabin?","2 nights"
min_stay,"What is the shortest stay allowed at Wildside Cabin?","2 nights"

max_stay,"What is the maximum stay allowed at Wildside Cabin?","15 nights"
max_stay,"How long can I stay at Wildside Cabin?","15 nights"
max_stay,"Is there a maximum stay duration for Wildside Cabin?","15 nights"
max_stay,"What is the longest stay permitted at Wildside Cabin?","15 nights"

get_name,"What is the name of the property?","Rondebos Retreat"
get_name,"What's the property called?","Rondebos Retreat"
get_name,"Can you tell me the name of the house?","Rondebos Retreat"
get_name,"How is the property named?","Rondebos Retreat"

get_address,"What is the address of Rondebos Retreat?","Farm B12, Roodeplaat"
get_address,"Where is Rondebos Retreat located?","Farm B12, Roodeplaat"
get_address,"Can you provide the address for Rondebos Retreat?","Farm B12, Roodeplaat"
get_address,"Where can I find Rondebos Retreat?","Farm B12, Roodeplaat"

get_place,"Where is Rondebos Retreat located?","Roodeplaat"
get_place,"In which area is Rondebos Retreat situated?","Roodeplaat"
get_place,"Rondebos Retreat is in which place?","Roodeplaat"
get_place,"Which locality is Rondebos Retreat in?","Roodeplaat"

get_type,"What type of property is Rondebos Retreat?","Farmhouse"
get_type,"Is Rondebos Retreat a house or a farmhouse?","Farmhouse"
get_type,"What kind of accommodation is Rondebos Retreat?","Farmhouse"
get_type,"Can you specify the type of Rondebos Retreat?","Farmhouse"

get_pax,"How many people can Rondebos Retreat accommodate?","7"
get_pax,"What is the maximum occupancy of Rondebos Retreat?","7"
get_pax,"How many guests can stay at Rondebos Retreat?","7"
get_pax,"What is the guest capacity for Rondebos Retreat?","7"

get_bedrooms,"How many bedrooms does Rondebos Retreat have?","3"
get_bedrooms,"What is the number of bedrooms in Rondebos Retreat?","3"
get_bedrooms,"Does Rondebos Retreat have multiple bedrooms?","3"
get_bedrooms,"How many bedrooms are there in Rondebos Retreat?","3"

get_bathrooms,"How many bathrooms does Rondebos Retreat have?","3"
get_bathrooms,"What is the number of bathrooms in Rondebos Retreat?","3"
get_bathrooms,"Does Rondebos Retreat have multiple bathrooms?","3"
get_bathrooms,"How many baths are available in Rondebos Retreat?","3"

get_bed_sizes,"What are the bed sizes in Rondebos Retreat?","1 King, 2 Queen, 3 Two Singles, 4 Sofa Bed"
get_bed_sizes,"Can you tell me the bed sizes at Rondebos Retreat?","1 King, 2 Queen, 3 Two Singles, 4 Sofa Bed"
get_bed_sizes,"What type of beds are in Rondebos Retreat?","1 King, 2 Queen, 3 Two Singles, 4 Sofa Bed"
get_bed_sizes,"How big are the beds in Rondebos Retreat?","1 King, 2 Queen, 3 Two Singles, 4 Sofa Bed"

get_size,"What is the size of Rondebos Retreat?","150m²"
get_size,"How large is Rondebos Retreat?","150m²"
get_size,"Can you provide the area of Rondebos Retreat?","150m²"
get_size,"What is the total square meters of Rondebos Retreat?","150m²"

get_built_year,"When was Rondebos Retreat built?","2019"
get_built_year,"In which year was Rondebos Retreat constructed?","2019"
get_built_year,"What is the construction year of Rondebos Retreat?","2019"
get_built_year,"When did they build Rondebos Retreat?","2019"

has_ac,"Does Rondebos Retreat have air conditioning?","No"
has_ac,"Is there AC available in Rondebos Retreat?","No"
has_ac,"Does Rondebos Retreat come with air conditioning?","No"
has_ac,"Can I use air conditioning at Rondebos Retreat?","No"

has_heat,"Does Rondebos Retreat have heating?","Yes"
has_heat,"Is there heating in Rondebos Retreat?","Yes"
has_heat,"Does Rondebos Retreat provide heating?","Yes"
has_heat,"Can I expect heating at Rondebos Retreat?","Yes"

has_fan,"Does Rondebos Retreat have a fan?","Yes"
has_fan,"Is there a fan available in Rondebos Retreat?","Yes"
has_fan,"Can I use a fan at Rondebos Retreat?","Yes"
has_fan,"Does Rondebos Retreat include a fan?","Yes"

has_washing_machine,"Does Rondebos Retreat have a washing machine?","Yes"
has_washing_machine,"Is there a washing machine in Rondebos Retreat?","Yes"
has_washing_machine,"Can I do laundry at Rondebos Retreat?","Yes"
has_washing_machine,"Does Rondebos Retreat provide a washer?","Yes"

has_tumble_dryer,"Does Rondebos Retreat have a tumble dryer?","Yes"
has_tumble_dryer,"Is there a dryer available in Rondebos Retreat?","Yes"
has_tumble_dryer,"Can I use a tumble dryer at Rondebos Retreat?","Yes"
has_tumble_dryer,"Does Rondebos Retreat include a dryer?","Yes"

has_dishwasher,"Does Rondebos Retreat have a dishwasher?","Yes"
has_dishwasher,"Is there a dishwasher in Rondebos Retreat?","Yes"
has_dishwasher,"Can I use a dishwasher at Rondebos Retreat?","Yes"
has_dishwasher,"Does Rondebos Retreat provide a dishwasher?","Yes"

has_iron,"Is there an iron available at Rondebos Retreat?","Yes"
has_iron,"Does Rondebos Retreat have an iron?","Yes"
has_iron,"Can I use an iron at Rondebos Retreat?","Yes"
has_iron,"Is an iron provided in Rondebos Retreat?","Yes"

has_tv,"Does Rondebos Retreat have a TV?","No"
has_tv,"Is there a television in Rondebos Retreat?","No"
has_tv,"Can I watch TV at Rondebos Retreat?","No"
has_tv,"Does Rondebos Retreat include a TV?","No"

allows_pets,"Are pets allowed at Rondebos Retreat?","No"
allows_pets,"Can I bring my pet to Rondebos Retreat?","No"
allows_pets,"Is pet-friendly accommodation available at Rondebos Retreat?","No"
allows_pets,"Does Rondebos Retreat allow animals?","No"

has_desk,"Is there a desk available at Rondebos Retreat?","Yes"
has_desk,"Does Rondebos Retreat provide a workspace?","Yes"
has_desk,"Can I work at Rondebos Retreat?","Yes"
has_desk,"Is a desk included in Rondebos Retreat?","Yes"

has_fireplace,"Does Rondebos Retreat have a fireplace?","Yes"
has_fireplace,"Is there a fireplace in Rondebos Retreat?","Yes"
has_fireplace,"Can I use the fireplace at Rondebos Retreat?","Yes"
has_fireplace,"Does Rondebos Retreat include a fireplace?","Yes"

has_fire_extinguisher,"Is there a fire extinguisher at Rondebos Retreat?","Yes"
has_fire_extinguisher,"Does Rondebos Retreat provide a fire extinguisher?","Yes"
has_fire_extinguisher,"Can I find a fire extinguisher in Rondebos Retreat?","Yes"
has_fire_extinguisher,"Is a fire extinguisher available at Rondebos Retreat?","Yes"

has_first_aid,"Is there a first aid kit available at Rondebos Retreat?","Yes"
has_first_aid,"Does Rondebos Retreat provide a first aid kit?","Yes"
has_first_aid,"Can I access a first aid kit in Rondebos Retreat?","Yes"
has_first_aid,"Is a first aid kit included in Rondebos Retreat?","Yes"

has_bbq,"Does Rondebos Retreat have a BBQ?","Yes"
has_bbq,"Is there a barbecue available at Rondebos Retreat?","Yes"
has_bbq,"Can I use a BBQ at Rondebos Retreat?","Yes"
has_bbq,"Does Rondebos Retreat include a BBQ?","Yes"

has_microwave,"Is there a microwave in Rondebos Retreat?","Yes"
has_microwave,"Does Rondebos Retreat provide a microwave?","Yes"
has_microwave,"Can I use a microwave at Rondebos Retreat?","Yes"
has_microwave,"Does Rondebos Retreat include a microwave?","Yes"

has_hair_dryer,"Is there a hair dryer at Rondebos Retreat?","Yes"
has_hair_dryer,"Does Rondebos Retreat provide a hair dryer?","Yes"
has_hair_dryer,"Can I use a hair dryer at Rondebos Retreat?","Yes"
